Q41_1,Q41_2,Q41_3,Q41_4,Q41_5,Q41_6,Q41_7,Q41_8,Q41_9,Q41_10,Q41_11,Q41_12,Q41_13,Q41_14,Q41_15,Q41_16,Q41_17,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Rarely,Rarely,Never,Never,Rarely,Rarely,Rarely,Never,Rarely,Often,Occasionally,Never,Never,Occasionally,Occasionally,Occasionally,Never,A Little,None,None,None,None,Some,A Little
Rarely,Rarely,Never,Rarely,Rarely,Never,Never,Rarely,Rarely,Never,Never,Never,Never,Never,Rarely,Rarely,Never,None,A Little,None,None,None,A Little,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
,,,,,,,,,,,,,,,,,,,,,,,
Rarely,Rarely,Rarely,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,A Little,A Little,A Little,A Little,A Little,A Little,A Little
Rarely,Occasionally,Often,Often,Often,Occasionally,Rarely,Occasionally,Very Often,Very Often,Occasionally,Rarely,Never,Occasionally,Occasionally,Often,Never,A Little,A Little,A Little,A Lot,A Lot,Some,Some
Occasionally,Occasionally,Occasionally,Never,Rarely,Rarely,Rarely,Never,Never,Occasionally,Rarely,Never,Never,Rarely,Never,Never,Never,None,Some,A Little,None,A Little,A Little,Some
Never,Occasionally,Rarely,Occasionally,Occasionally,Never,Never,Never,Never,Occasionally,Rarely,Never,Never,Rarely,Rarely,Never,Rarely,None,None,None,None,None,None,None
Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Rarely,Often,Occasionally,Often,Occasionally,Occasionally,Occasionally,Occasionally,Often,Often,Often,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Some,Some,Some,Some,Some,Some,Some
Often,Occasionally,Never,Very Often,Often,Occasionally,Often,Often,Often,Rarely,Often,Very Often,Never,Very Often,Often,Never,Never,Some,A Lot,A Little,None,A Lot,Some,A Little
Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,Never,Occasionally,Never,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
Rarely,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,Rarely,Rarely,Never,Rarely,Never,None,None,None,None,None,None,None
Often,Rarely,Occasionally,Occasionally,Often,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Occasionally,Rarely,Occasionally,A Little,A Little,Some,None,A Little,Some,A Little
,,,,,,,,,,,,,,,,,,,,,,,
Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Never,None,None,None,None,None,A Little,A Little
Occasionally,Occasionally,Occasionally,Often,Often,Rarely,Never,Never,Never,Occasionally,Rarely,Never,Rarely,Rarely,Rarely,Rarely,Never,None,None,None,None,None,A Little,None
Rarely,Rarely,Never,Never,Rarely,Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Never,Never,Never,Never,Rarely,Occasionally,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
Often,Rarely,Occasionally,Often,Often,Rarely,Occasionally,Never,Often,Often,Often,Rarely,Occasionally,Never,Rarely,Occasionally,Never,Some,Some,A Little,None,A Little,Some,Some
Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Rarely,Rarely,Occasionally,Rarely,Occasionally,A Little,A Little,A Little,None,A Little,A Little,Some
,,,,,,,,,,,,,,,,,,,,,,,
Occasionally,Occasionally,Never,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Rarely,Occasionally,Occasionally,Never,Rarely,Rarely,Often,Rarely,Rarely,None,A Little,A Little,A Little,Some,Some,A Little
Never,Never,Never,Rarely,Occasionally,Never,Never,Never,Never,Rarely,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,A Little,None,None
Rarely,Rarely,Occasionally,Occasionally,Very Often,Rarely,Very Often,Rarely,Often,Very Often,Occasionally,Never,Never,Rarely,Never,Never,Occasionally,A Little,A Little,A Little,A Little,Some,Some,Some
Occasionally,Rarely,Occasionally,Occasionally,Rarely,Never,Never,Never,Never,Often,Rarely,Never,Never,Never,Rarely,Rarely,Never,A Little,A Little,None,None,A Little,A Little,None
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Occasionally,Never,Never,Occasionally,Occasionally,Never,Occasionally,Never,Often,Occasionally,Occasionally,Rarely,Never,Occasionally,Occasionally,Rarely,Rarely,Some,Some,A Lot,A Lot,Some,Some,Some
Never,Never,Never,Never,Never,Rarely,Never,Never,Never,Rarely,Rarely,Never,Never,Never,Rarely,Never,Never,None,None,None,None,None,None,None
,,,,,,,,,,,,,,,,,,,,,,,
Rarely,Rarely,Rarely,Often,Rarely,Occasionally,Rarely,Occasionally,Occasionally,Often,Occasionally,Rarely,Never,Never,Rarely,Rarely,Rarely,Some,Some,A Little,A Little,Some,Some,Some
,,,,,,,,,,,,,,,,,,,,,,,
Never,Never,Never,Never,Never,Never,Never,Never,Never,Occasionally,Never,Never,Never,Never,Never,Never,Never,None,None,None,None,None,None,None
